Transaction Date,Value Date,Description,Type,Amount,Category,Merchant,Reference,Account Number,Currency,Payment Method
2026-03-31,2026-03-31,Salary Credit - March,INCOME,88000,Salary,TechNova,SAL-3-0331,XXXX-XXXX-XXXX-5678,INR,BANK_TRANSFER
2026-03-30,2026-03-30,Rent Payment,EXPENSE,24000,Housing,Landlord,RENT-3-0330,XXXX-XXXX-XXXX-5678,INR,BANK_TRANSFER
2026-03-29,2026-03-29,BigBasket Groceries,EXPENSE,2760,Groceries,BigBasket,GR-3-0329,XXXX-XXXX-XXXX-5678,INR,CARD
2026-03-28,2026-03-28,Metro Recharge,EXPENSE,500,Transport,DMRC,MET-3-0328,XXXX-XXXX-XXXX-5678,INR,MOBILE_PAYMENT
2026-03-27,2026-03-27,Freelance Payment - Blog Content,INCOME,11200,Freelance,Client Two,FRL-3-0327,XXXX-XXXX-XXXX-5678,INR,BANK_TRANSFER
2026-03-26,2026-03-26,Water Bill,EXPENSE,460,Utilities,City Water,WB-3-0326,XXXX-XXXX-XXXX-5678,INR,AUTO_DEBIT
2026-03-25,2026-03-25,Cinema Tickets,EXPENSE,900,Entertainment,INOX,CT-3-0325,XXXX-XXXX-XXXX-5678,INR,CARD
2026-03-24,2026-03-24,Tea and Breakfast,EXPENSE,240,Food,Local Cafe,TB-3-0324,XXXX-XXXX-XXXX-5678,INR,CASH
2026-03-23,2026-03-23,Fixed Deposit Interest,INCOME,3100,Investment,Bank FD,FD-3-0323,XXXX-XXXX-XXXX-5678,INR,BANK_TRANSFER
2026-03-22,2026-03-22,Online Course Subscription,EXPENSE,799,Education,Udemy,OC-3-0322,XXXX-XXXX-XXXX-5678,INR,CARD
2026-03-21,2026-03-21,Taxi to Airport,EXPENSE,760,Transport,Ola,TX-3-0321,XXXX-XXXX-XXXX-5678,INR,MOBILE_PAYMENT
2026-03-20,2026-03-20,Health Supplements,EXPENSE,1340,Health,PharmaPlus,HS-3-0320,XXXX-XXXX-XXXX-5678,INR,CARD
