Transaction Date,Value Date,Description,Type,Amount,Category,Merchant,Reference,Account Number,Currency,Payment Method
2025-12-31,2025-12-31,Year End Salary Credit,INCOME,97000,Salary,BluePeak Tech,SAL-6-1231,XXXX-XXXX-XXXX-7788,INR,BANK_TRANSFER
2025-12-30,2025-12-30,New Year Shopping,EXPENSE,4200,Shopping,Amazon,SHOP-6-1230,XXXX-XXXX-XXXX-7788,INR,CARD
2025-12-29,2025-12-29,Groceries - HyperMart,EXPENSE,2890,Groceries,HyperMart,GR-6-1229,XXXX-XXXX-XXXX-7788,INR,CARD
2025-12-28,2025-12-28,Flight Booking,EXPENSE,14800,Travel,IndiGo,FL-6-1228,XXXX-XXXX-XXXX-7788,INR,CARD
2025-12-27,2025-12-27,Freelance App Bug Fix,INCOME,13500,Freelance,Client Five,FRL-6-1227,XXXX-XXXX-XXXX-7788,INR,BANK_TRANSFER
2025-12-26,2025-12-26,Water and Sewer Bill,EXPENSE,540,Utilities,City Water,WB-6-1226,XXXX-XXXX-XXXX-7788,INR,AUTO_DEBIT
2025-12-25,2025-12-25,Christmas Dinner,EXPENSE,2100,Food,Holiday Inn,HD-6-1225,XXXX-XXXX-XXXX-7788,INR,CARD
2025-12-24,2025-12-24,Cab to Station,EXPENSE,190,Transport,Ola,CB-6-1224,XXXX-XXXX-XXXX-7788,INR,MOBILE_PAYMENT
2025-12-23,2025-12-23,Refund for Returned Item,INCOME,2400,Refund,Flipkart,RFD-6-1223,XXXX-XXXX-XXXX-7788,INR,BANK_TRANSFER
2025-12-22,2025-12-22,Internet Subscription,EXPENSE,1099,Utilities,ACT Fibernet,NET-6-1222,XXXX-XXXX-XXXX-7788,INR,AUTO_DEBIT
2025-12-21,2025-12-21,Donation,EXPENSE,1500,Other,NGO Trust,DON-6-1221,XXXX-XXXX-XXXX-7788,INR,OTHER
2025-12-20,2025-12-20,Part Time Tutoring,INCOME,6800,Education,Student Transfer,EDU-6-1220,XXXX-XXXX-XXXX-7788,INR,BANK_TRANSFER
