Transaction Date,Value Date,Description,Type,Amount,Category,Merchant,Reference,Account Number,Currency,Payment Method
2026-04-30,2026-04-30,Salary Credit - ACME Corp,INCOME,90000,Salary,ACME Corp,SAL-0426-001,XXXX-XXXX-XXXX-1234,INR,BANK_TRANSFER
2026-04-30,2026-04-30,Electricity Bill - April,EXPENSE,2800,Utilities,State Power Co.,ELC-INV-4421,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-04-29,2026-04-29,Electronics Purchase - Mobile,EXPENSE,8600,Electronics,TechMart,ORD-77891,XXXX-XXXX-XXXX-1234,INR,CARD
2026-04-28,2026-04-28,Cafe Lunch - The Daily Grind,EXPENSE,450,Food,Cafe Daily,TXN-44021,XXXX-XXXX-XXXX-1234,INR,CASH
2026-04-27,2026-04-27,Amazon Marketplace - Order #8421,EXPENSE,3200,Shopping,Amazon,AMZ-8421,XXXX-XXXX-XXXX-1234,INR,CARD
2026-04-26,2026-04-26,Swiggy Food Order,EXPENSE,560,Food,Swiggy,SWG-55213,XXXX-XXXX-XXXX-1234,INR,CARD
2026-04-25,2026-04-25,Uber Ride - Downtown,EXPENSE,210,Transport,Uber,UBR-1145,XXXX-XXXX-XXXX-1234,INR,MOBILE_PAYMENT
2026-04-24,2026-04-24,Netflix Subscription,EXPENSE,499,Subscription,Netflix,NFLX-0424,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-04-23,2026-04-23,Groceries - BigBasket,EXPENSE,1800,Groceries,BigBasket,BB-33211,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-04-22,2026-04-22,Phone Recharge - Jio,EXPENSE,199,Utilities,Jio Mobile,RCG-2204-11,XXXX-XXXX-XXXX-1234,INR,CASH
2026-04-21,2026-04-21,Gym Membership - Monthly,EXPENSE,2500,Health,FitnessPro,GM-0421-01,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-04-20,2026-04-20,Restaurant Dinner - Olive,EXPENSE,3200,Food,Olive Restaurant,RES-2026-04,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-04-19,2026-04-19,Petrol Pump - Shell,EXPENSE,3800,Transport,Shell,PTL-1940,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-04-18,2026-04-18,Insurance Premium - LifeCare,EXPENSE,5600,Insurance,LifeCare,INS-0418-01,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-04-17,2026-04-17,Freelance Payment - Project X,INCOME,15000,Freelance,ClientX,FRL-1704-77,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-04-16,2026-04-16,Online Course - Udemy,EXPENSE,1200,Education,Udemy,EDU-0416-03,XXXX-XXXX-XXXX-1234,INR,CARD
2026-04-15,2026-04-15,Movie Tickets - Cineplex,EXPENSE,800,Entertainment,Cineplex,CNX-0415-10,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-04-14,2026-04-14,Salary Credit - Bonus,INCOME,5000,Salary,ACME Corp,SAL-0426-BON,XXXX-XXXX-XXXX-1234,INR,BANK_TRANSFER
2026-04-13,2026-04-13,Electricity Bill - Adjustment,EXPENSE,300,Utilities,State Power Co.,ELC-ADJ-13,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-04-12,2026-04-12,Taxi - Ola,EXPENSE,180,Transport,Ola,OLA-412-1,XXXX-XXXX-XXXX-1234,INR,MOBILE_PAYMENT
2026-04-11,2026-04-11,Health: Pharmacy Purchase,EXPENSE,950,Health,PharmaPlus,PHR-0411,XXXX-XXXX-XXXX-1234,INR,CARD
2026-04-10,2026-04-10,Groceries - Local Market,EXPENSE,1100,Groceries,Local Mart,LM-0410-22,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-04-08,2026-04-08,House Rent April,EXPENSE,25000,Housing,Landlord,RENT-0426-01,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-04-07,2026-04-07,Electricity Bill - March,EXPENSE,3100,Utilities,State Power Co.,ELC-3577,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-04-06,2026-04-06,Subscription - Spotify,EXPENSE,129,Subscription,Spotify,SPF-0406,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-04-05,2026-04-05,Gift Received - Friend,INCOME,8000,Gift,Friend Transfer,GFT-0504,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-04-04,2026-04-04,Stationery - Office Supplies,EXPENSE,600,Shopping,OfficeMart,OFF-0404,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-04-03,2026-04-03,Bus Pass Recharge,EXPENSE,499,Transport,CityTransit,CT-0403,XXXX-XXXX-XXXX-1234,INR,CASH
2026-04-02,2026-04-02,Freelance Payment - Design,INCOME,12000,Freelance,ClientY,FRL-0204-11,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-04-01,2026-04-01,Salary Credit - ACME Corp,INCOME,90000,Salary,ACME Corp,SAL-0401-001,XXXX-XXXX-XXXX-1234,INR,BANK_TRANSFER
2026-03-31,2026-03-31,Electronics - Headphones,EXPENSE,4200,Electronics,AudioStore,ORD-331,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-03-30,2026-03-30,Restaurant - Cafe Mosaic,EXPENSE,1500,Food,Cafe Mosaic,RES-3330,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-03-29,2026-03-29,Insurance - Auto,EXPENSE,4500,Insurance,AutoSecure,INS-0329-07,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-03-28,2026-03-28,Groceries - SuperMart,EXPENSE,2400,Groceries,SuperMart,SM-0328-88,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-03-27,2026-03-27,Petrol - BP,EXPENSE,2650,Transport,BP,PTL-327,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-03-26,2026-03-26,Salary Credit - Bonus,INCOME,7000,Salary,ACME Corp,SAL-0326-BON,XXXX-XXXX-XXXX-1234,INR,BANK_TRANSFER
2026-03-25,2026-03-25,Online Shopping - Flipkart,EXPENSE,5400,Shopping,Flipkart,FK-0325-24,XXXX-XXXX-XXXX-1234,INR,CARD
2026-03-24,2026-03-24,Electricity Bill - Feb,EXPENSE,2900,Utilities,State Power Co.,ELC-0324-01,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-03-23,2026-03-23,Medical - Clinic Visit,EXPENSE,2200,Health,City Clinic,CLN-0323-05,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-03-21,2026-03-21,Taxi - Airport Transfer,EXPENSE,650,Transport,TaxiCo,TXN-0321-9,XXXX-XXXX-XXXX-1234,INR,MOBILE_PAYMENT
2026-03-20,2026-03-20,Groceries - Farmer's Market,EXPENSE,980,Groceries,Farmers Market,FM-0320,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-03-19,2026-03-19,Refund - Retail Return,INCOME,1800,Refund,ShopEasy,RFD-0319-11,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-03-18,2026-03-18,Monthly Internet - ISP,EXPENSE,999,Utilities,FastNet,ISP-0318,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-03-17,2026-03-17,Movie Streaming - Prime,EXPENSE,299,Subscription,Prime Video,PRM-0317,XXXX-XXXX-XXXX-1234,INR,CASH
2026-03-16,2026-03-16,Freelance Payment - Article,INCOME,6000,Freelance,ClientZ,FRL-0316-04,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-03-15,2026-03-15,Clothing - Retail Store,EXPENSE,4200,Shopping,TrendyWear,TR-0315-77,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-03-14,2026-03-14,Restaurant - Sushi Place,EXPENSE,2600,Food,Sushi World,SUSH-0314,XXXX-XXXX-XXXX-1234,INR,OTHER
