Transaction Date,Value Date,Description,Type,Amount,Category,Merchant,Reference,Account Number,Currency,Payment Method
2026-04-30,2026-04-30,Salary Credit - April,INCOME,92000,Salary,ACME Corp,SAL-2-0430,XXXX-XXXX-XXXX-1234,INR,BANK_TRANSFER
2026-04-29,2026-04-29,House Rent April,EXPENSE,26000,Housing,Landlord,RENT-2-0429,XXXX-XXXX-XXXX-1234,INR,BANK_TRANSFER
2026-04-28,2026-04-28,Groceries - Reliance Smart,EXPENSE,3450,Groceries,Reliance Smart,GR-2-0428,XXXX-XXXX-XXXX-1234,INR,CARD
2026-04-27,2026-04-27,Uber Ride - Office Drop,EXPENSE,260,Transport,Uber,UB-2-0427,XXXX-XXXX-XXXX-1234,INR,MOBILE_PAYMENT
2026-04-26,2026-04-26,Freelance Invoice - UI Fixes,INCOME,14500,Freelance,Client One,FRL-2-0426,XXXX-XXXX-XXXX-1234,INR,BANK_TRANSFER
2026-04-25,2026-04-25,Electricity Bill,EXPENSE,2940,Utilities,State Power Co.,EB-2-0425,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-04-24,2026-04-24,Movie Night,EXPENSE,1200,Entertainment,PVR,PV-2-0424,XXXX-XXXX-XXXX-1234,INR,CARD
2026-04-23,2026-04-23,Mobile Recharge,EXPENSE,299,Utilities,Jio,RC-2-0423,XXXX-XXXX-XXXX-1234,INR,MOBILE_PAYMENT
2026-04-22,2026-04-22,Coffee and Snacks,EXPENSE,380,Food,Starbucks,CF-2-0422,XXXX-XXXX-XXXX-1234,INR,CASH
2026-04-21,2026-04-21,Stock Dividend,INCOME,4200,Investment,Brokerage,STK-2-0421,XXXX-XXXX-XXXX-1234,INR,BANK_TRANSFER
2026-04-20,2026-04-20,Internet Bill,EXPENSE,999,Utilities,Excitel,NET-2-0420,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-04-19,2026-04-19,Restaurant Dinner,EXPENSE,1850,Food,Olive Bistro,RD-2-0419,XXXX-XXXX-XXXX-1234,INR,CARD
